table_name,column_name,data_type,is_nullable,column_default
cache_audio,id,uuid,NO,gen_random_uuid()
cache_audio,provider,text,NO,null
cache_audio,voice_id,text,NO,null
cache_audio,text_hash,text,NO,null
cache_audio,text,text,NO,null
cache_audio,audio_url,text,NO,null
cache_audio,duration_seconds,numeric,YES,null
cache_audio,meta,jsonb,YES,null
cache_audio,hit_count,integer,NO,0
cache_audio,created_at,timestamp with time zone,NO,now()
cache_audio,last_used_at,timestamp with time zone,NO,now()
cache_responses,id,uuid,NO,gen_random_uuid()
cache_responses,shop_id,uuid,YES,null
cache_responses,question_hash,text,NO,null
cache_responses,question_text,text,NO,null
cache_responses,locale,text,YES,'de'::text
cache_responses,reply_text,text,NO,null
cache_responses,products,jsonb,YES,null
cache_responses,meta,jsonb,YES,null
cache_responses,hit_count,integer,NO,0
cache_responses,created_at,timestamp with time zone,NO,now()
cache_responses,last_used_at,timestamp with time zone,NO,now()
efro_events,id,uuid,NO,gen_random_uuid()
efro_events,shop_domain,text,NO,null
efro_events,user_text,text,NO,null
efro_events,intent,text,NO,null
efro_events,product_count,integer,NO,0
efro_events,plan,text,YES,null
efro_events,had_error,boolean,NO,false
efro_events,error_message,text,YES,null
efro_events,created_at,timestamp with time zone,NO,now()
efro_shop_settings,shop,text,NO,null
efro_shop_settings,avatar_id,text,YES,null
efro_shop_settings,voice_id,text,YES,null
efro_shop_settings,locale,text,YES,null
efro_shop_settings,tts_enabled,boolean,YES,true
efro_shop_settings,created_at,timestamp with time zone,YES,now()
efro_shop_settings,updated_at,timestamp with time zone,YES,now()
efro_shop_settings,currency,text,YES,null
efro_shop_settings,product_source,text,YES,null
efro_shop_settings,voice_enabled,boolean,YES,null
efro_shop_settings,enable_cross_sell,boolean,YES,null
efro_shop_settings,debug_overlay_enabled,boolean,YES,null
efro_shops,id,uuid,NO,gen_random_uuid()
efro_shops,shop_domain,text,NO,null
efro_shops,brand_name,text,YES,null
efro_shops,main_category,text,YES,null
efro_shops,target_audience,text,YES,null
efro_shops,price_level,text,YES,null
efro_shops,language,text,YES,'de'::text
efro_shops,country,text,YES,null
efro_shops,currency,text,YES,null
efro_shops,tone_of_voice,text,YES,null
efro_shops,plan,text,YES,'starter'::text
efro_shops,installed_at,timestamp with time zone,YES,now()
efro_shops,last_seen_at,timestamp with time zone,YES,null
efro_shops,onboarding_status,text,YES,'demo'::text
efro_shops,metadata,jsonb,YES,'{}'::jsonb
efro_shops,created_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
efro_shops,updated_at,timestamp with time zone,NO,"timezone('utc'::text, now())"
efro_shops,locale,text,YES,'de'::text
efro_shops,is_demo,boolean,YES,false
events,id,bigint,NO,nextval('events_id_seq'::regclass)
events,ts,timestamp with time zone,YES,now()
events,session_id,text,YES,null
events,event_type,text,YES,null
events,sku,text,YES,null
events,payload,jsonb,YES,null
product_embeddings,id,uuid,NO,gen_random_uuid()
product_embeddings,product_id,uuid,NO,null
product_embeddings,shop_id,uuid,YES,null
product_embeddings,provider,text,NO,null
product_embeddings,model,text,NO,null
product_embeddings,embedding,jsonb,NO,null
product_embeddings,created_at,timestamp with time zone,NO,now()
products,sku,text,YES,null
products,title,text,YES,null
products,description,text,YES,null
products,price,numeric,YES,null
products,compare_at_price,numeric,YES,null
products,tags,text,YES,null
products,category,text,YES,null
products,inventory,integer,YES,null
products,image_url,text,YES,null
products,product_url,text,YES,null
products,cross_sell_skus,text,YES,null
products,upsell_skus,text,YES,null
products,language,text,YES,null
products,color,text,YES,null
products,size,text,YES,null
products,variant_id,text,YES,null
products,available,boolean,YES,true
products,featuredImage,text,YES,null
products,handle,text,YES,null
products,id,text,NO,null
products,vendor,text,YES,null
products,shop_uuid,uuid,YES,null
products,shop_domain,text,YES,null
products_demo,id,uuid,NO,gen_random_uuid()
products_demo,category,text,YES,null
products_demo,title,text,YES,null
products_demo,description,text,YES,null
products_demo,price,numeric,YES,null
products_demo,vendor,text,YES,null
products_demo,featuredimage,text,YES,null
products_demo,handle,text,YES,null
products_demo,sku,text,YES,null
products_demo,inventory,text,YES,null
products_demo,created_at,timestamp with time zone,YES,now()
products_demo,updated_at,timestamp with time zone,YES,now()
shops,id,uuid,NO,gen_random_uuid()
shops,shop,text,NO,null
shops,access_token,text,YES,null
shops,plan,text,YES,'basic'::text
shops,active,boolean,YES,true
shops,updated_at,timestamp with time zone,YES,now()
subscriptions,id,uuid,NO,uuid_generate_v4()
subscriptions,shop,text,NO,null
subscriptions,plan,text,NO,null
subscriptions,active,boolean,YES,true
subscriptions,created_at,timestamp with time zone,YES,now()
subscriptions,updated_at,timestamp with time zone,YES,now()
users,id,uuid,NO,uuid_generate_v4()
users,email,text,YES,null
users,name,text,YES,null
users,created_at,timestamp with time zone,YES,now()
